"","front","typhoon","hr","ehr","tr","etr"
"20081231",0,0,0,0,0,0
"20090101",0,0,0,0,0,0
"20090102",0,0,0,0,0,0
"20090103",1,0,0,0,0,0
"20090104",1,0,0,0,0,0
"20090105",0,0,0,0,0,0
"20090106",0,0,1,0,0,0
"20090107",0,0,1,0,0,0
"20090108",0,0,0,0,0,0
"20090109",0,0,0,0,0,0
"20090110",0,0,0,0,0,0
"20090111",0,0,0,0,0,0
"20090112",0,0,0,0,0,0
"20090113",0,0,0,0,0,0
"20090114",0,0,0,0,0,0
"20090115",0,0,0,0,0,0
"20090116",0,0,0,0,0,0
"20090117",0,0,0,0,0,0
"20090118",0,0,0,0,0,0
"20090119",0,0,0,0,0,0
"20090120",1,0,0,0,0,0
"20090121",1,0,0,0,0,0
"20090122",0,0,0,0,0,0
"20090123",0,0,0,0,0,0
"20090124",0,0,0,0,0,0
"20090125",0,0,0,0,0,0
"20090126",0,0,0,0,0,0
"20090127",0,0,0,0,0,0
"20090128",0,0,0,0,0,0
"20090129",1,0,0,0,0,0
"20090130",1,0,0,0,0,0
"20090131",0,0,0,0,0,0
"20090201",0,0,0,0,0,0
"20090202",0,0,0,0,0,0
"20090203",0,0,0,0,0,0
"20090204",1,0,0,0,0,0
"20090205",1,0,0,0,0,0
"20090206",1,0,0,0,0,0
"20090207",0,0,0,0,0,0
"20090208",0,0,0,0,0,0
"20090209",0,0,0,0,0,0
"20090210",0,0,0,0,0,0
"20090211",0,0,0,0,0,0
"20090212",0,0,0,0,0,0
"20090213",0,0,0,0,0,0
"20090214",1,0,0,0,0,0
"20090215",1,0,0,0,0,0
"20090216",1,0,0,0,0,0
"20090217",0,0,0,0,0,0
"20090218",0,0,0,0,0,0
"20090219",1,0,0,0,0,0
"20090220",1,0,0,0,0,0
"20090221",0,0,0,0,0,0
"20090222",1,0,0,0,0,0
"20090223",1,0,0,0,0,0
"20090224",0,0,0,0,0,0
"20090225",1,0,0,0,0,0
"20090226",1,0,0,0,0,0
"20090227",0,0,0,0,0,0
"20090228",0,0,0,0,0,0
"20090301",0,0,0,0,0,0
"20090302",1,0,0,0,0,0
"20090303",1,0,0,0,0,0
"20090304",0,0,0,0,0,0
"20090305",1,0,0,0,0,0
"20090306",1,0,0,0,0,0
"20090307",1,0,0,0,0,0
"20090308",1,0,0,0,0,0
"20090309",0,0,0,0,0,0
"20090310",0,0,0,0,0,0
"20090311",0,0,0,0,0,0
"20090312",0,0,0,0,0,0
"20090313",1,0,0,0,0,0
"20090314",0,0,0,0,0,0
"20090315",0,0,0,0,0,0
"20090316",0,0,0,0,0,0
"20090317",0,0,0,0,0,0
"20090318",0,0,0,0,0,0
"20090319",0,0,0,0,0,0
"20090320",0,0,0,0,0,0
"20090321",0,0,0,0,0,0
"20090322",0,0,0,0,0,0
"20090323",1,0,0,0,0,0
"20090324",1,0,0,0,0,0
"20090325",0,0,0,0,0,0
"20090326",0,0,0,0,0,0
"20090327",1,0,0,0,0,0
"20090328",1,0,0,0,0,0
"20090329",1,0,0,0,0,0
"20090330",0,0,0,0,0,0
"20090331",0,0,0,0,0,0
"20090401",0,0,0,0,0,0
"20090402",0,0,0,0,0,0
"20090403",0,0,0,0,0,0
"20090404",1,0,0,0,0,0
"20090405",1,0,0,0,0,0
"20090406",0,0,0,0,0,0
"20090407",1,0,0,0,0,0
"20090408",0,0,0,0,0,0
"20090409",0,0,0,0,0,0
"20090410",0,0,0,0,0,0
"20090411",0,0,0,0,0,0
"20090412",0,0,0,0,0,0
"20090413",1,0,0,0,0,0
"20090414",1,0,0,0,0,0
"20090415",1,0,0,0,0,0
"20090416",1,0,0,0,0,0
"20090417",1,0,0,0,0,0
"20090418",0,0,0,0,0,0
"20090419",0,0,0,0,0,0
"20090420",1,0,0,0,0,0
"20090421",1,0,0,0,0,0
"20090422",0,0,0,0,0,0
"20090423",0,0,0,0,0,0
"20090424",1,0,0,0,0,0
"20090425",1,0,0,0,0,0
"20090426",0,0,0,0,0,0
"20090427",0,0,0,0,0,0
"20090428",0,0,0,0,0,0
"20090429",0,0,0,0,0,0
"20090430",0,0,0,0,0,0
"20090501",0,0,0,0,0,0
"20090502",0,0,0,0,0,0
"20090503",0,0,0,0,0,0
"20090504",0,0,0,0,0,0
"20090505",0,0,0,0,0,0
"20090506",0,0,0,0,0,0
"20090507",0,0,0,0,0,0
"20090508",0,0,0,0,0,0
"20090509",0,0,0,0,0,0
"20090510",0,0,0,0,0,0
"20090511",0,0,0,0,0,0
"20090512",0,0,0,0,0,0
"20090513",0,0,0,0,0,0
"20090514",0,0,0,0,0,0
"20090515",0,0,0,0,0,0
"20090516",0,0,0,0,0,0
"20090517",1,0,0,0,0,0
"20090518",1,0,0,0,0,0
"20090519",1,0,0,0,0,0
"20090520",0,0,0,0,0,0
"20090521",1,0,0,0,0,0
"20090522",1,0,0,0,0,0
"20090523",1,0,0,0,0,0
"20090524",1,0,0,0,0,0
"20090525",1,0,0,0,0,0
"20090526",1,0,0,0,0,0
"20090527",1,0,0,0,0,0
"20090528",0,0,0,0,0,0
"20090529",0,0,0,0,0,0
"20090530",0,0,0,0,0,0
"20090531",0,0,0,0,0,0
"20090601",0,0,0,0,0,0
"20090602",0,0,0,0,0,0
"20090603",1,0,0,0,0,0
"20090604",1,0,1,0,0,0
"20090605",0,0,1,0,0,0
"20090606",0,0,0,0,0,0
"20090607",0,0,0,0,0,0
"20090608",0,0,0,0,0,0
"20090609",0,0,0,0,0,0
"20090610",1,0,0,0,0,0
"20090611",1,0,0,0,0,0
"20090612",1,0,0,0,0,0
"20090613",1,0,0,0,0,0
"20090614",1,0,0,0,0,0
"20090615",1,0,0,0,0,0
"20090616",1,0,1,0,0,0
"20090617",0,0,0,0,0,0
"20090618",0,0,0,0,0,0
"20090619",0,1,0,0,0,0
"20090620",0,1,0,0,0,0
"20090621",0,1,0,0,0,0
"20090622",0,1,0,0,0,0
"20090623",0,0,0,0,0,0
"20090624",0,0,0,0,0,0
"20090625",1,0,0,0,0,0
"20090626",0,0,0,0,0,0
"20090627",0,0,0,0,0,0
"20090628",0,0,0,0,0,0
"20090629",0,0,0,0,0,0
"20090630",0,0,0,0,0,0
"20090701",1,0,0,0,0,0
"20090702",1,0,0,0,0,0
"20090703",1,0,0,0,0,0
"20090704",1,0,0,0,0,0
"20090705",0,0,0,0,0,0
"20090706",0,0,0,0,0,0
"20090707",0,0,0,0,0,0
"20090708",0,0,0,0,0,0
"20090709",0,0,0,0,0,0
"20090710",0,0,0,0,0,0
"20090711",0,0,0,0,0,0
"20090712",0,0,0,0,0,0
"20090713",0,0,0,0,0,0
"20090714",0,0,0,0,0,0
"20090715",0,0,0,0,0,0
"20090716",0,1,0,0,0,0
"20090717",0,1,0,0,0,0
"20090718",0,1,0,0,0,0
"20090719",0,0,0,0,0,0
"20090720",0,0,0,0,0,0
"20090721",0,0,0,0,0,0
"20090722",0,0,0,0,0,0
"20090723",0,0,0,0,0,0
"20090724",0,0,0,0,0,0
"20090725",0,0,1,0,0,0
"20090726",0,0,1,0,0,0
"20090727",0,0,0,0,0,0
"20090728",0,0,0,0,0,0
"20090729",0,0,0,0,0,0
"20090730",0,0,0,0,0,0
"20090731",0,0,0,0,0,0
"20090801",0,0,0,0,0,0
"20090802",0,0,0,0,0,0
"20090803",0,0,0,0,0,0
"20090804",0,0,0,0,0,0
"20090805",0,1,0,0,0,0
"20090806",0,1,1,1,0,0
"20090807",0,1,1,1,0,0
"20090808",0,1,1,1,0,0
"20090809",0,1,0,0,0,0
"20090810",0,1,0,0,0,0
"20090811",0,0,0,0,0,0
"20090812",0,0,1,1,0,0
"20090813",0,0,1,0,0,0
"20090814",0,0,0,0,0,0
"20090815",0,0,0,0,0,0
"20090816",0,0,0,0,0,0
"20090817",0,0,0,0,0,0
"20090818",0,0,0,0,0,0
"20090819",0,0,0,0,0,0
"20090820",0,0,0,0,0,0
"20090821",0,0,0,0,0,0
"20090822",0,0,0,0,0,0
"20090823",0,0,0,0,0,0
"20090824",0,0,0,0,0,0
"20090825",0,0,0,0,0,0
"20090826",0,0,0,0,0,0
"20090827",0,0,0,0,0,0
"20090828",0,0,0,0,0,0
"20090829",0,0,0,0,0,0
"20090830",0,0,0,0,0,0
"20090831",0,0,0,0,0,0
"20090901",0,0,0,0,0,0
"20090902",0,0,0,0,0,0
"20090903",0,0,1,0,0,0
"20090904",0,0,0,0,0,0
"20090905",0,0,0,0,0,0
"20090906",0,0,0,0,0,0
"20090907",0,0,0,0,0,0
"20090908",0,0,0,0,0,0
"20090909",0,0,0,0,0,0
"20090910",0,0,0,0,0,0
"20090911",0,0,0,0,0,0
"20090912",0,0,0,0,0,0
"20090913",0,0,1,0,0,0
"20090914",0,0,1,0,0,0
"20090915",0,0,0,0,0,0
"20090916",0,0,0,0,0,0
"20090917",0,0,0,0,0,0
"20090918",0,0,0,0,0,0
"20090919",0,0,0,0,0,0
"20090920",0,0,0,0,0,0
"20090921",0,0,0,0,0,0
"20090922",0,0,0,0,0,0
"20090923",0,0,0,0,0,0
"20090924",0,0,0,0,0,0
"20090925",0,0,0,0,0,0
"20090926",0,0,0,0,0,0
"20090927",0,0,0,0,0,0
"20090928",1,0,1,1,0,0
"20090929",1,0,1,1,0,0
"20090930",1,0,1,0,0,0
"20091001",1,0,0,0,0,0
"20091002",1,0,0,0,0,0
"20091003",0,1,0,0,0,0
"20091004",0,1,1,0,0,0
"20091005",0,1,1,1,0,0
"20091006",0,1,1,0,0,0
"20091007",0,0,1,0,0,0
"20091008",0,0,0,0,0,0
"20091009",0,0,0,0,0,0
"20091010",0,0,0,0,0,0
"20091011",0,0,0,0,0,0
"20091012",0,0,0,0,0,0
"20091013",0,0,0,0,0,0
"20091014",0,0,0,0,0,0
"20091015",0,0,0,0,0,0
"20091016",0,0,0,0,0,0
"20091017",0,0,0,0,0,0
"20091018",0,0,0,0,0,0
"20091019",0,0,0,0,0,0
"20091020",0,0,0,0,0,0
"20091021",0,0,0,0,0,0
"20091022",0,0,0,0,0,0
"20091023",0,0,1,0,0,0
"20091024",0,0,1,0,0,0
"20091025",0,0,0,0,0,0
"20091026",0,0,0,0,0,0
"20091027",0,0,0,0,0,0
"20091028",0,0,0,0,0,0
"20091029",0,0,0,0,0,0
"20091030",0,0,0,0,0,0
"20091031",1,0,0,0,0,0
"20091101",0,0,0,0,0,0
"20091102",0,0,0,0,0,0
"20091103",0,0,0,0,0,0
"20091104",0,0,0,0,0,0
"20091105",0,0,0,0,0,0
"20091106",0,0,0,0,0,0
"20091107",0,0,0,0,0,0
"20091108",0,0,0,0,0,0
"20091109",0,0,0,0,0,0
"20091110",1,0,0,0,0,0
"20091111",1,0,0,0,0,0
"20091112",1,0,0,0,0,0
"20091113",1,0,0,0,0,0
"20091114",0,0,0,0,0,0
"20091115",1,0,0,0,0,0
"20091116",1,0,0,0,0,0
"20091117",0,0,1,0,0,0
"20091118",0,0,1,0,0,0
"20091119",0,0,0,0,0,0
"20091120",0,0,0,0,0,0
"20091121",0,0,0,0,0,0
"20091122",0,0,0,0,0,0
"20091123",0,0,0,0,0,0
"20091124",0,0,0,0,0,0
"20091125",0,0,0,0,0,0
"20091126",0,0,0,0,0,0
"20091127",0,0,0,0,0,0
"20091128",0,0,0,0,0,0
"20091129",0,0,0,0,0,0
"20091130",0,0,0,0,0,0
"20091201",0,0,0,0,0,0
"20091202",0,0,0,0,0,0
"20091203",0,0,0,0,0,0
"20091204",0,0,0,0,0,0
"20091205",0,0,0,0,0,0
"20091206",0,0,0,0,0,0
"20091207",0,0,0,0,0,0
"20091208",0,0,0,0,0,0
"20091209",0,0,0,0,0,0
"20091210",1,0,0,0,0,0
"20091211",0,0,0,0,0,0
"20091212",0,0,0,0,0,0
"20091213",0,0,0,0,0,0
"20091214",0,0,0,0,0,0
"20091215",0,0,0,0,0,0
"20091216",0,0,0,0,0,0
"20091217",0,0,0,0,0,0
"20091218",0,0,0,0,0,0
"20091219",0,0,0,0,0,0
"20091220",0,0,0,0,0,0
"20091221",0,0,0,0,0,0
"20091222",0,0,0,0,0,0
"20091223",0,0,0,0,0,0
"20091224",1,0,0,0,0,0
"20091225",1,0,0,0,0,0
"20091226",0,0,0,0,0,0
"20091227",0,0,0,0,0,0
"20091228",0,0,0,0,0,0
"20091229",0,0,0,0,0,0
"20091230",0,0,0,0,0,0
"20091231",0,0,0,0,0,0
"20100101",1,0,0,0,0,0
"20100102",1,0,0,0,0,0
"20100103",0,0,0,0,0,0
"20100104",0,0,0,0,0,0
"20100105",0,0,0,0,0,0
"20100106",0,0,0,0,0,0
"20100107",0,0,0,0,0,0
"20100108",0,0,0,0,0,0
"20100109",0,0,0,0,0,0
"20100110",1,0,0,0,0,0
"20100111",1,0,0,0,0,0
"20100112",0,0,0,0,0,0
"20100113",0,0,0,0,0,0
"20100114",0,0,0,0,0,0
"20100115",0,0,0,0,0,0
"20100116",0,0,0,0,0,0
"20100117",0,0,0,0,0,0
"20100118",0,0,0,0,0,0
"20100119",0,0,0,0,0,0
"20100120",0,0,0,0,0,0
"20100121",1,0,0,0,0,0
"20100122",0,0,0,0,0,0
"20100123",0,0,0,0,0,0
"20100124",1,0,0,0,0,0
"20100125",1,0,0,0,0,0
"20100126",0,0,0,0,0,0
"20100127",1,0,0,0,0,0
"20100128",1,0,0,0,0,0
"20100129",0,0,0,0,0,0
"20100130",0,0,0,0,0,0
"20100131",1,0,0,0,0,0
"20100201",1,0,0,0,0,0
"20100202",0,0,0,0,0,0
"20100203",0,0,0,0,0,0
"20100204",0,0,0,0,0,0
"20100205",0,0,0,0,0,0
"20100206",1,0,0,0,0,0
"20100207",1,0,0,0,0,0
"20100208",1,0,0,0,0,0
"20100209",0,0,0,0,0,0
"20100210",0,0,0,0,0,0
"20100211",1,0,0,0,0,0
"20100212",0,0,0,0,0,0
"20100213",0,0,0,0,0,0
"20100214",1,0,0,0,0,0
"20100215",1,0,0,0,0,0
"20100216",0,0,0,0,0,0
"20100217",0,0,0,0,0,0
"20100218",0,0,0,0,0,0
"20100219",0,0,0,0,0,0
"20100220",0,0,0,0,0,0
"20100221",0,0,0,0,0,0
"20100222",0,0,0,0,0,0
"20100223",0,0,0,0,0,0
"20100224",0,0,0,0,0,0
"20100225",0,0,0,0,0,0
"20100226",1,0,0,0,0,0
"20100227",1,0,0,0,0,0
"20100228",0,0,0,0,0,0
"20100301",1,0,0,0,0,0
"20100302",1,0,0,0,0,0
"20100303",0,0,0,0,0,0
"20100304",1,0,0,0,0,0
"20100305",1,0,0,0,0,0
"20100306",1,0,0,0,0,0
"20100307",1,0,0,0,0,0
"20100308",0,0,0,0,0,0
"20100309",0,0,0,0,0,0
"20100310",0,0,0,0,0,0
"20100311",0,0,0,0,0,0
"20100312",0,0,0,0,0,0
"20100313",0,0,0,0,0,0
"20100314",0,0,0,0,0,0
"20100315",1,0,0,0,0,0
"20100316",0,0,0,0,0,0
"20100317",0,0,0,0,0,0
"20100318",0,0,0,0,0,0
"20100319",0,0,0,0,0,0
"20100320",1,0,0,0,0,0
"20100321",0,0,0,0,0,0
"20100322",0,0,0,0,0,0
"20100323",0,0,0,0,0,0
"20100324",1,0,0,0,0,0
"20100325",1,0,0,0,0,0
"20100326",0,0,0,0,0,0
"20100327",0,0,0,0,0,0
"20100328",0,0,0,0,0,0
"20100329",0,0,0,0,0,0
"20100330",0,0,0,0,0,0
"20100331",0,0,0,0,0,0
"20100401",1,0,0,0,0,0
"20100402",1,0,0,0,0,0
"20100403",0,0,0,0,0,0
"20100404",1,0,0,0,0,0
"20100405",1,0,0,0,0,0
"20100406",1,0,0,0,0,0
"20100407",1,0,0,0,0,0
"20100408",0,0,0,0,0,0
"20100409",0,0,0,0,0,0
"20100410",0,0,0,0,0,0
"20100411",0,0,0,0,0,0
"20100412",1,0,0,0,0,0
"20100413",1,0,0,0,0,0
"20100414",1,0,0,0,0,0
"20100415",1,0,0,0,0,0
"20100416",0,0,0,0,0,0
"20100417",0,0,0,0,0,0
"20100418",0,0,0,0,0,0
"20100419",0,0,0,0,0,0
"20100420",0,0,0,0,0,0
"20100421",1,0,0,0,0,0
"20100422",1,0,0,0,0,0
"20100423",1,0,0,0,0,0
"20100424",0,0,0,0,0,0
"20100425",0,0,0,0,0,0
"20100426",1,0,0,0,0,0
"20100427",0,0,0,0,0,0
"20100428",0,0,0,0,0,0
"20100429",0,0,0,0,0,0
"20100430",0,0,0,0,0,0
"20100501",1,0,0,0,0,0
"20100502",0,0,0,0,0,0
"20100503",0,0,0,0,0,0
"20100504",0,0,0,0,0,0
"20100505",0,0,0,0,0,0
"20100506",0,0,0,0,0,0
"20100507",1,0,0,0,0,0
"20100508",1,0,0,0,0,0
"20100509",1,0,0,0,0,0
"20100510",1,0,0,0,0,0
"20100511",1,0,0,0,0,0
"20100512",1,0,0,0,0,0
"20100513",1,0,0,0,0,0
"20100514",1,0,0,0,0,0
"20100515",1,0,0,0,0,0
"20100516",1,0,0,0,0,0
"20100517",0,0,0,0,0,0
"20100518",0,0,0,0,0,0
"20100519",0,0,0,0,0,0
"20100520",1,0,0,0,0,0
"20100521",0,0,0,0,0,0
"20100522",0,0,0,0,0,0
"20100523",1,0,0,0,0,0
"20100524",1,0,0,0,0,0
"20100525",0,0,0,0,0,0
"20100526",1,0,0,0,0,0
"20100527",1,0,0,0,0,0
"20100528",1,0,0,0,0,0
"20100529",1,0,0,0,0,0
"20100530",1,0,0,0,0,0
"20100531",1,0,0,0,0,0
"20100601",1,0,0,0,0,0
"20100602",1,0,0,0,0,0
"20100603",1,0,0,0,0,0
"20100604",0,0,0,0,0,0
"20100605",0,0,0,0,0,0
"20100606",1,0,0,0,0,0
"20100607",0,0,0,0,0,0
"20100608",0,0,0,0,0,0
"20100609",0,0,0,0,0,0
"20100610",1,0,1,0,0,0
"20100611",1,0,1,0,0,0
"20100612",1,0,0,0,0,0
"20100613",1,0,1,0,0,0
"20100614",1,0,1,0,0,0
"20100615",1,0,0,0,0,0
"20100616",1,0,0,0,0,0
"20100617",1,0,0,0,0,0
"20100618",0,0,0,0,0,0
"20100619",0,0,0,0,0,0
"20100620",0,0,0,0,0,0
"20100621",0,0,1,0,0,0
"20100622",0,0,1,0,0,0
"20100623",1,0,0,0,0,0
"20100624",1,0,0,0,0,0
"20100625",0,0,0,0,0,0
"20100626",1,0,1,0,0,0
"20100627",0,0,0,0,0,0
"20100628",0,0,0,0,0,0
"20100629",0,0,1,0,0,0
"20100630",0,0,1,0,0,0
"20100701",0,0,0,0,0,0
"20100702",0,0,0,0,0,0
"20100703",0,0,0,0,0,0
"20100704",0,0,0,0,0,0
"20100705",0,0,0,0,0,0
"20100706",0,0,0,0,0,0
"20100707",0,0,0,0,0,0
"20100708",0,0,0,0,0,0
"20100709",0,0,0,0,0,0
"20100710",0,0,0,0,0,0
"20100711",0,0,0,0,0,0
"20100712",0,0,0,0,0,0
"20100713",0,0,0,0,0,0
"20100714",0,0,0,0,0,0
"20100715",0,0,0,0,0,0
"20100716",0,0,0,0,0,0
"20100717",0,0,0,0,0,0
"20100718",0,0,0,0,0,0
"20100719",0,0,0,0,0,0
"20100720",0,0,0,0,0,0
"20100721",0,0,0,0,0,0
"20100722",0,0,0,0,0,0
"20100723",0,0,0,0,0,0
"20100724",0,0,1,0,0,0
"20100725",0,0,0,0,0,0
"20100726",0,0,0,0,0,0
"20100727",0,0,0,0,0,0
"20100728",0,0,0,0,0,0
"20100729",0,0,0,0,0,0
"20100730",0,0,1,0,0,0
"20100731",0,0,0,0,0,0
"20100801",0,0,0,0,0,0
"20100802",0,0,0,0,0,0
"20100803",0,0,0,0,0,0
"20100804",0,0,0,0,0,0
"20100805",0,0,0,0,0,0
"20100806",0,0,0,0,0,0
"20100807",0,0,0,0,0,0
"20100808",0,0,0,0,0,0
"20100809",0,0,0,0,0,0
"20100810",0,0,0,0,0,0
"20100811",0,0,0,0,0,0
"20100812",0,0,0,0,0,0
"20100813",0,0,0,0,0,0
"20100814",0,0,0,0,0,0
"20100815",0,0,0,0,0,0
"20100816",0,0,0,0,0,0
"20100817",0,0,0,0,0,0
"20100818",0,0,0,0,0,0
"20100819",0,0,0,0,0,0
"20100820",0,0,0,0,0,0
"20100821",0,0,0,0,0,0
"20100822",0,0,0,0,0,0
"20100823",0,0,0,0,0,0
"20100824",0,0,0,0,0,0
"20100825",0,0,0,0,0,0
"20100826",0,0,0,0,0,0
"20100827",0,0,0,0,0,0
"20100828",0,0,0,0,0,0
"20100829",0,0,0,0,0,0
"20100830",0,1,1,1,0,0
"20100831",0,1,1,1,0,0
"20100901",0,0,1,0,0,0
"20100902",0,0,0,0,0,0
"20100903",0,0,0,0,0,0
"20100904",0,0,0,0,0,0
"20100905",0,0,0,0,0,0
"20100906",0,0,0,0,0,0
"20100907",0,0,0,0,0,0
"20100908",0,0,0,0,0,0
"20100909",0,1,0,0,0,0
"20100910",0,1,0,0,0,0
"20100911",0,0,0,0,0,0
"20100912",0,0,0,0,0,0
"20100913",0,0,0,0,0,0
"20100914",0,0,0,0,0,0
"20100915",0,0,0,0,0,0
"20100916",0,0,0,0,0,0
"20100917",0,1,0,0,0,0
"20100918",0,1,0,0,0,0
"20100919",0,1,1,0,0,0
"20100920",0,1,1,0,0,0
"20100921",0,0,0,0,0,0
"20100922",0,0,0,0,0,0
"20100923",0,0,1,0,0,0
"20100924",0,0,1,1,0,0
"20100925",0,0,0,0,0,0
"20100926",0,0,0,0,0,0
"20100927",0,0,0,0,0,0
"20100928",0,0,0,0,0,0
"20100929",0,0,0,0,0,0
"20100930",0,0,1,1,0,0
"20101001",0,0,1,1,0,0
"20101002",0,0,1,0,0,0
"20101003",1,0,0,0,0,0
"20101004",0,0,0,0,0,0
"20101005",0,0,0,0,0,0
"20101006",0,0,0,0,0,0
"20101007",1,0,0,0,0,0
"20101008",1,0,0,0,0,0
"20101009",1,0,0,0,0,0
"20101010",0,0,0,0,0,0
"20101011",0,0,0,0,0,0
"20101012",0,0,0,0,0,0
"20101013",1,0,0,0,0,0
"20101014",1,0,0,0,0,0
"20101015",1,0,0,0,0,0
"20101016",0,0,0,0,0,0
"20101017",0,0,0,0,0,0
"20101018",0,0,1,0,0,0
"20101019",0,0,1,0,0,0
"20101020",0,0,1,0,0,0
"20101021",0,1,1,1,1,0
"20101022",0,1,1,1,1,0
"20101023",0,1,1,0,0,0
"20101024",0,0,0,0,0,0
"20101025",0,0,1,0,0,0
"20101026",0,0,1,0,0,0
"20101027",0,0,1,0,0,0
"20101028",0,0,1,0,0,0
"20101029",0,0,1,0,0,0
"20101030",0,0,0,0,0,0
"20101031",0,0,0,0,0,0
"20101101",0,0,0,0,0,0
"20101102",0,0,0,0,0,0
"20101103",0,0,0,0,0,0
"20101104",0,0,0,0,0,0
"20101105",0,0,0,0,0,0
"20101106",0,0,0,0,0,0
"20101107",0,0,0,0,0,0
"20101108",0,0,0,0,0,0
"20101109",0,0,0,0,0,0
"20101110",0,0,0,0,0,0
"20101111",0,0,0,0,0,0
"20101112",0,0,0,0,0,0
"20101113",0,0,0,0,0,0
"20101114",0,0,0,0,0,0
"20101115",0,0,0,0,0,0
"20101116",0,0,0,0,0,0
"20101117",0,0,0,0,0,0
"20101118",1,0,0,0,0,0
"20101119",0,0,1,0,0,0
"20101120",0,0,0,0,0,0
"20101121",1,0,0,0,0,0
"20101122",1,0,0,0,0,0
"20101123",0,0,0,0,0,0
"20101124",0,0,0,0,0,0
"20101125",0,0,1,0,0,0
"20101126",0,0,1,0,0,0
"20101127",0,0,0,0,0,0
"20101128",0,0,0,0,0,0
"20101129",0,0,0,0,0,0
"20101130",1,0,0,0,0,0
"20101201",0,0,0,0,0,0
"20101202",0,0,0,0,0,0
"20101203",0,0,0,0,0,0
"20101204",0,0,0,0,0,0
"20101205",1,0,0,0,0,0
"20101206",1,0,0,0,0,0
"20101207",0,0,0,0,0,0
"20101208",0,0,0,0,0,0
"20101209",0,0,0,0,0,0
"20101210",0,0,0,0,0,0
"20101211",0,0,0,0,0,0
"20101212",0,0,0,0,0,0
"20101213",1,0,0,0,0,0
"20101214",1,0,0,0,0,0
"20101215",0,0,0,0,0,0
"20101216",0,0,1,0,0,0
"20101217",0,0,0,0,0,0
"20101218",0,0,0,0,0,0
"20101219",0,0,0,0,0,0
"20101220",0,0,0,0,0,0
"20101221",0,0,0,0,0,0
"20101222",0,0,0,0,0,0
"20101223",0,0,0,0,0,0
"20101224",0,0,0,0,0,0
"20101225",0,0,0,0,0,0
"20101226",0,0,0,0,0,0
"20101227",0,0,0,0,0,0
"20101228",0,0,0,0,0,0
"20101229",0,0,0,0,0,0
"20101230",0,0,0,0,0,0
"20101231",0,0,0,0,0,0
